通年調査Ⅰ
水域名,類型,測定地点ｺｰﾄﾞ,測定地点名,調査機関名,年度,採取年,採取月日,採取時刻,採取層･位置,採取水深,天候,気温,水温,全水深,流量,流速･透明度,透視度,PH,DO,BOD,COD,SS,大腸菌群数,N-ﾍｷｻﾝ抽出物質,全窒素,全燐,全亜鉛,ｶﾄﾞﾐｳﾑ,全ｼｱﾝ,鉛,六価ｸﾛﾑ,砒素,総水銀,ｱﾙｷﾙ水銀,PCB,ｼﾞｸﾛﾛﾒﾀﾝ,四塩化炭素,"1,2-ｼﾞｸﾛﾛｴﾀﾝ","1,1-ｼﾞｸﾛﾛｴﾁﾚﾝ","ｼｽ-1,2-ｼﾞｸﾛﾛｴﾁﾚﾝ","1,1,1-ﾄﾘｸﾛﾛｴﾀﾝ","1,1,2-ﾄﾘｸﾛﾛｴﾀﾝ",ﾄﾘｸﾛﾛｴﾁﾚﾝ,ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,"1,3-ｼﾞｸﾛﾛﾌﾟﾛﾍﾟﾝ",ﾁｳﾗﾑ,ｼﾏｼﾞﾝ,ﾁｵﾍﾞﾝｶﾙﾌﾞ,ﾍﾞﾝｾﾞﾝ,ｾﾚﾝ,ふっ素,ほう素,"1,4-ｼﾞｵｷｻﾝ",硝酸性窒素及び亜硝酸性窒素,亜硝酸性窒素,硝酸性窒素,ﾌｪﾉｰﾙ類,銅,亜鉛,溶解性鉄,溶解性ﾏﾝｶﾞﾝ,ｸﾛﾑ,EPN,ｱﾝﾓﾆｱ性窒素,ﾘﾝ酸性ﾘﾝ,塩化物ｲｵﾝ,塩分,電気伝導率,陰ｲｵﾝ界面活性剤,全有機体炭素,溶存有機炭素,ｸﾛﾛﾌｨﾙa,溶解性COD,ﾌﾟﾗﾝｸﾄﾝ総数,ﾄﾘﾊﾛﾒﾀﾝ生成能,ｸﾛﾛﾎﾙﾑ生成能,ﾌﾞﾛﾓｼﾞｸﾛﾛﾒﾀﾝ生成能,ｼﾞﾌﾞﾛﾓｸﾛﾛﾒﾀﾝ生成能,ﾌﾞﾛﾓﾎﾙﾑ生成能,ﾄﾘﾊﾛﾒﾀﾝ,ｸﾛﾛﾎﾙﾑ,ﾌﾞﾛﾓｼﾞｸﾛﾛﾒﾀﾝ,ｼﾞﾌﾞﾛﾓｸﾛﾛﾒﾀﾝ,ﾌﾞﾛﾓﾎﾙﾑ
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2012,2012,0416,1219,上層,0.5  ,薄曇,18.0,15.7,7.3,,3.0,,8.4,11,,6.4,,,,1.1,0.059,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.047,0.41,,,,,,,,0.22,0.010,,29.13,,,2,<2,20,3.3,1.8E+03,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2012,2012,0416,1221,下層,6.3  ,薄曇,18.0,14.4,7.3,,3.0,,8.4,8.3,,4.3,,,,0.74,0.066,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.044,0.38,,,,,,,,0.18,0.010,,29.82,,,<2,<2,,,,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2012,2012,0507,1109,上層,0.5  , 晴 ,18.8,19.8,6.0,,0.6,,8.2,8.5,,4.0,,7.9E+01,<0.5,1.0,0.10,,,,,,,,,,,,,,,,,,,<0.0002,<0.0006,<0.0003,<0.002,,,,,<0.005,0.53,0.025,0.51,,,,,,,,0.32,0.044,,23.99,,<0.05,<2,<2,3.7,2.3,1.4E+04,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2012,2012,0507,1112,下層,5.0  , 晴 ,18.8,20.0,6.0,,0.6,,8.2,7.9,,4.3,,,,1.3,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.024,0.46,,,,,,,,0.32,0.042,,25.31,,,<2,<2,,,,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2012,2012,0604,1140,上層,0.5  , 晴 ,23.2,24.2,5.5,,1.8,,8.4,12,,5.8,,,,1.2,0.17,<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.038,0.26,,,,,,,,0.21,0.046,,25.25,,,3,2,35,4.1,7.3E+03,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2012,2012,0604,1143,下層,4.5  , 晴 ,23.2,21.5,5.5,,1.8,,8.4,7.1,,5.5,,,,1.0,0.10,<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.040,0.14,,,,,,,,0.24,0.039,,27.20,,,3,2,,,,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2012,2012,0702,1043,上層,0.5  , 曇 ,22.0,21.7,6.2,,2.7,,8.0,7.3,,4.2,,1.3E+01,<0.5,0.58,0.054,,<0.0005,<0.1,<0.001,<0.005,0.002,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.003,<0.001,,,,,<0.001,<0.001,,,,0.080,0.010,0.07,<0.005,<0.01,,<0.1,<0.1,<0.02,,0.11,0.016,,29.63,,,<2,<2,14,2.7,2.9E+03,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2012,2012,0702,1045,下層,5.2  , 曇 ,22.0,20.1,6.2,,2.7,,8.0,4.4,,3.5,,,,0.59,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,0.011,0.08,,,,,,,,0.21,0.025,,30.32,,,<2,<2,,,,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2012,2012,0801,1106,上層,0.5  , 曇 ,30.8,29.9,6.4,,1.5,,8.8,9.0,,5.5,,,,1.2,0.099,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.012,<0.002,<0.01,,,,,,,,0.41,0.026,,25.95,,<0.05,2,2,15,2.3,4.5E+04,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2012,2012,0801,1112,下層,5.4  , 曇 ,30.8,29.0,6.4,,1.5,,8.6,6.6,,5.6,,,,1.0,0.082,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,<0.002,0.02,,,,,,,,0.39,0.026,,26.57,,,2,<2,,,,,,,,,,,,,
