通年調査Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水域名,類型,測定地点ｺｰﾄﾞ,測定地点名,調査機関名,年度,採取年,採取月日,採取時刻,採取層･位置,採取水深,天候,気温,水温,全水深,流量,流速･透明度,透視度,PH,DO,BOD,COD,SS,大腸菌群数,N-ﾍｷｻﾝ抽出物質,全窒素,全燐,全亜鉛,ｶﾄﾞﾐｳﾑ,全ｼｱﾝ,鉛,六価ｸﾛﾑ,砒素,総水銀,ｱﾙｷﾙ水銀,PCB,ｼﾞｸﾛﾛﾒﾀﾝ,四塩化炭素,"1,2-ｼﾞｸﾛﾛｴﾀﾝ","1,1-ｼﾞｸﾛﾛｴﾁﾚﾝ","ｼｽ-1,2-ｼﾞｸﾛﾛｴﾁﾚﾝ","1,1,1-ﾄﾘｸﾛﾛｴﾀﾝ","1,1,2-ﾄﾘｸﾛﾛｴﾀﾝ",ﾄﾘｸﾛﾛｴﾁﾚﾝ,ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,"1,3-ｼﾞｸﾛﾛﾌﾟﾛﾍﾟﾝ",ﾁｳﾗﾑ,ｼﾏｼﾞﾝ,ﾁｵﾍﾞﾝｶﾙﾌﾞ,ﾍﾞﾝｾﾞﾝ,ｾﾚﾝ,ふっ素,ほう素,"1,4-ｼﾞｵｷｻﾝ",硝酸性窒素及び亜硝酸性窒素,亜硝酸性窒素,硝酸性窒素,ﾌｪﾉｰﾙ類,銅,亜鉛,溶解性鉄,溶解性ﾏﾝｶﾞﾝ,ｸﾛﾑ,EPN,ｱﾝﾓﾆｱ性窒素,ﾘﾝ酸性ﾘﾝ,塩化物ｲｵﾝ,塩分,電気伝導率,陰ｲｵﾝ界面活性剤,全有機体炭素,溶存有機炭素,ｸﾛﾛﾌｨﾙa,溶解性COD,ﾌﾟﾗﾝｸﾄﾝ総数,ﾄﾘﾊﾛﾒﾀﾝ生成能,ｸﾛﾛﾎﾙﾑ生成能,ﾌﾞﾛﾓｼﾞｸﾛﾛﾒﾀﾝ生成能,ｼﾞﾌﾞﾛﾓｸﾛﾛﾒﾀﾝ生成能,ﾌﾞﾛﾓﾎﾙﾑ生成能,ﾄﾘﾊﾛﾒﾀﾝ,ｸﾛﾛﾎﾙﾑ,ﾌﾞﾛﾓｼﾞｸﾛﾛﾒﾀﾝ,ｼﾞﾌﾞﾛﾓｸﾛﾛﾒﾀﾝ,ﾌﾞﾛﾓﾎﾙﾑ
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2014,2014,408,1037,上層,0.5, 晴 ,14,15,7.5,,1.8,>30.0,8.4,12,,3,,,,0.89,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.035,0.42,,,,,,,,0.06,0.011,,27.83,,,2.3,1.6,28,1.7,3.70E+04,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2014,2014,408,1037,下層,6.5, 晴 ,14,13.9,7.5,,1.8,>30.0,8.4,9.2,,2.8,,,,0.78,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.032,0.37,,,,,,,,0.04,0.011,,28.76,,,1.8,1.5,,,,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2014,2014,507,1043,上層,0.5, 晴 ,20,18.2,7.5,,2.2,>30.0,8.4,9.9,,3.5,,7.00E+00,<0.5,0.64,0.034,<0.001,,,,,,,,,,,,,,,,,,<0.0002,<0.0006,<0.0003,<0.002,,,,,<0.005,0.3,0.025,0.27,,,,,,,,0.14,0.015,,28.42,,<0.05,1,1,15,2.3,3.00E+03,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2014,2014,507,1043,下層,6.5, 晴 ,20,18.6,7.5,,2.2,>30.0,8.3,7.8,,1.3,,,,0.8,0.056,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.026,0.27,,,,,,,,0.24,0.029,,32.78,,,1.7,1.5,,,,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2014,2014,602,1138,上層,0.5, 曇 ,31.5,25.3,7.5,,6,>30.0,8.4,8.3,,3.2,,,,0.73,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.023,0.26,,,,,,,,0.39,0.03,,26.37,,,1.8,1.8,1.9,2,3.60E+02,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2014,2014,602,1138,下層,6.5, 曇 ,31.5,24.2,7.5,,6,>30.0,8.4,8.4,,3.2,,,,0.58,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.019,0.16,,,,,,,,0.23,0.019,,28.08,,,2.6,2.3,,,,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2014,2014,701,1045,上層,0.5, 晴 ,26,25.2,7.3,,1.3,>30.0,8.6,13,,6.3,,2.20E+02,<0.5,0.84,0.11,0.002,<0.0005,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.003,<0.001,,,,,<0.001,<0.001,,,,0.19,0.026,0.16,<0.005,<0.01,,<0.1,<0.1,<0.02,,0.33,0.006,,26.94,,,4.2,1.8,74,2.9,5.50E+04,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2014,2014,701,1045,下層,6.3, 晴 ,26,24.1,7.3,,1.3,>30.0,8.3,5.9,,4.2,,,,0.88,0.13,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.031,0.17,,,,,,,,0.34,0.015,,26.27,,,2.9,1.6,,,,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2014,2014,819,1200,上層,0.5, 晴 ,28,28.8,7.8,,1.5,>30.0,8.8,10,,7.1,,,,0.76,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.027,0.35,,,,,,,,0.25,<0.003,,22.65,,<0.05,3.6,1.7,94,3.3,7.50E+03,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2014,2014,819,1200,下層,6.8, 晴 ,28,27.7,7.8,,1.5,>30.0,8.6,7.3,,4.3,,,,0.42,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,0.006,0.08,,,,,,,,0.22,0.003,,25.62,,,3.1,1.8,,,,,,,,,,,,,
東京湾（９）(東京湾（ロ）),海域B (Ⅳ),30010,東京湾　１,千葉県,2014,2014,901,1120,上層,0.5, 曇 ,23,24.2,7.6,,2,>30.0,8.3,7.7,,4.4,,,,0.54,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.015,0.15,,,,,,,,0.33,0.03,,28.55,,,5.6,1.7,37,2.7,1.10E+04,,,,,,,,,,
