地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,透視度(河川･湖沼),ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒素,硝酸性窒素,ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン生成能,ジブロモクロロメタン生成能,ブロモホルム生成能,クロロホルム,トランス-1、２-ジクロロエチレン,１、２-ジクロロプロペン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルヘキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10920,20160411,粟倉橋,小糸川上流,B,906,1,0.16,千葉県,曇り,9.7,14.2,0.84,1.14,0.22,,>30.0,8.1,8.6,1,5.6,1,1.30E+04,,0.81,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20160510,粟倉橋,小糸川上流,B,1231,1,0.17,千葉県,曇り,22.9,17.6,0.85,0.99,0.18,,>30.0,8.1,9,1.6,6.7,3,1.70E+04,,1,0.14,0.003,,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,<0.08,0.04,0.54,<0.1,0.58,<0.005,,,,,,,0.07,,,,,10,,32,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20160607,粟倉橋,小糸川上流,B,1240,1,0.14,千葉県,曇り,21.8,18.6,0.73,0.43,0.09,,>30.0,8.3,8.3,0.7,5.6,2,3.30E+04,,1.2,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20160711,粟倉橋,小糸川上流,B,1030,1,0.1,千葉県,晴れ,31.1,24.2,0.53,0.25,0.05,,>30.0,8.2,8.1,1.1,6.7,2,3.30E+04,,1.2,0.23,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.83,,0.87,,<0.005,<0.01,0.1,<0.1,<0.02,,0.07,,,,,4.1,,38,,15,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20160809,粟倉橋,小糸川上流,B,855,1,0.08,千葉県,薄曇り,32.9,23.5,0.4,0.17,0.05,,>30.0,8.3,7.3,1.3,6.7,4,3.30E+03,,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20160906,粟倉橋,小糸川上流,B,852,1,0.16,千葉県,晴れ,32,23.6,0.81,0.76,0.14,,>30.0,8.2,7.1,1.1,6.4,2,7.90E+04,,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.64,,0.68,,,,,,,,,,,,,4.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20161004,粟倉橋,小糸川上流,B,839,1,0.16,千葉県,晴れ,25.9,21.2,0.84,1.98,0.34,,>30.0,8,8.2,0.9,7.4,3,1.30E+05,,0.88,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20161114,粟倉橋,小糸川上流,B,1115,1,0.17,千葉県,曇り,14.8,13.9,0.86,2.07,0.31,,>30.0,8,9.9,1,6.9,5,4.90E+03,,0.79,0.072,0.011,,,<0.0003,<0.1,<0.001,<0.005,<0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,<0.08,<0.03,0.44,<0.1,0.47,<0.005,,,,,,,0.05,,,,,6.7,,23,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20161205,粟倉橋,小糸川上流,B,1341,1,0.16,千葉県,晴れ,17.8,13.3,0.82,2.05,0.33,,>30.0,8,9.8,0.6,6,3,7.90E+03,,0.75,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20170117,粟倉橋,小糸川上流,B,1358,1,0.16,千葉県,晴れ,9.2,6.5,0.8,1.15,0.22,,>30.0,8.1,11,0.7,4.9,<1,2.20E+03,,0.88,0.12,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.51,,0.54,,,,,,,,0.12,,,,,5,,31,,16,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
