地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,透視度(河川･湖沼),ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒素,硝酸性窒素,ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン生成能,ジブロモクロロメタン生成能,ブロモホルム生成能,クロロホルム,トランス-1、２-ジクロロエチレン,１、２-ジクロロプロペン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルヘキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20160412,東京湾　１,東京湾（９）,B,1114,11,0.5,千葉県,晴れ,11.7,15.3,7.1,,,2.7,,8.4,10,,2.6,,,,0.68,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.29,,0.31,,,,,,,,0.27,1.9,0.042,3.80E+03,22,3.2,2.1,,29.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20160412,東京湾　１,東京湾（９）,B,1118,13,6,千葉県,晴れ,11.7,14,7.1,,,2.7,,8.3,7.9,,3.3,,,,0.73,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,0.27,,0.29,,,,,,,,0.12,,0.038,,,3.4,2.2,,30.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20160516,東京湾　１,東京湾（９）,B,1135,11,0.5,千葉県,薄曇り,21.1,21.3,7.1,,,1.2,,8.6,12,,6.6,,2.00E+00,<0.5,1,0.084,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,<0.01,,<0.012,,,,,,,,0.12,3.4,0.005,9.10E+03,94,6.6,3.3,,29.82,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20160516,東京湾　１,東京湾（９）,B,1142,13,6,千葉県,薄曇り,21.1,20,7.1,,,1.2,,8.5,7.3,,8.7,,,,0.91,0.071,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,<0.01,,<0.012,,,,,,,,0.07,,<0.003,,,6.4,3.1,,30.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20160601,東京湾　１,東京湾（９）,B,1200,11,0.5,千葉県,薄曇り,23.9,21.7,7.8,,,3.5,,8.3,7.5,,4.5,,,,0.7,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,0.15,,0.17,,,,,,,,0.19,2.4,0.057,2.70E+03,8.2,1.3,0.8,,29.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20160601,東京湾　１,東京湾（９）,B,1205,13,6.8,千葉県,薄曇り,23.9,20.1,7.8,,,3.5,,8.3,3.6,,4.2,,,,0.52,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.08,,0.1,,,,,,,,0.17,,0.042,,,1,0.8,,30.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20160706,東京湾　１,東京湾（９）,B,1125,11,0.5,千葉県,曇り,23.4,25.4,6.7,,,1.9,,8.2,6.3,,4.5,,3.30E+02,<0.5,1.4,0.091,0.002,<0.00006,<0.0006,<0.0005,<0.1,<0.001,<0.005,0.002,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.026,0.59,,0.61,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,0.22,3.7,0.076,7.80E+03,22,3,2.8,,21.4,,<0.05,<0.002,0.001,,,,,,,,,,,,,,,,,,,,,,,,0.009,<0.0002,<0.00004,0.04,0.0018,,,<0.00004,<0.002,<0.001
30010,20160706,東京湾　１,東京湾（９）,B,1135,13,5.7,千葉県,曇り,23.4,23.4,6.7,,,1.9,,8.2,6.5,,4.4,,,,0.84,0.081,0.004,<0.00006,<0.0006,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.17,,0.19,,,,,,,,0.17,,0.049,,,2.9,2.3,,27.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20160803,東京湾　１,東京湾（９）,B,1140,11,0.5,千葉県,晴れ,30.1,29.2,6.5,,,1.6,,8.4,11,,6.3,,,,1,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.14,,0.15,,,,,,,,0.34,3.2,0.055,1.90E+04,47,5.6,3.8,,25.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20160803,東京湾　１,東京湾（９）,B,1145,13,5.5,千葉県,晴れ,30.1,26.7,6.5,,,1.6,,8.3,3.3,,5.6,,,,0.92,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.08,,0.093,,,,,,,,0.3,,0.053,,,5.7,3.8,,27.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
