地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域,透視度(河川･湖沼),ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒素,硝酸性窒素,ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン生成能,ジブロモクロロメタン生成能,ブロモホルム生成能,クロロホルム,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10920,20170425,粟倉橋,小糸川上流,B,1124,流心（中央）,0.15,千葉県,晴れ,23.1,16.2,0.76,0.37,0.08,,>30.0,8.2,9.4,0.8,5.2,2,7.00E+02,,1.2,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20170515,粟倉橋,小糸川上流,B,842,流心（中央）,0.17,千葉県,薄曇り,19.6,16.3,0.87,0.72,0.14,,>30.0,8.2,8.3,1.1,6.4,2,4.90E+03,,1.3,0.2,0.003,,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.14,0.04,0.78,0.1,0.72,<0.005,,,,,,,0.13,,,,,6.5,,36,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20170607,粟倉橋,小糸川上流,B,936,流心（中央）,0.14,千葉県,晴れ,23.9,17.8,0.73,0.19,0.04,,>30.0,8.2,8.7,0.7,6,2,2.20E+03,,1.1,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20170713,粟倉橋,小糸川上流,B,845,流心（中央）,0.15,千葉県,晴れ,30.4,24.1,0.79,0.78,0.17,,>30.0,8.2,7.8,1.3,7.1,3,3.30E+03,,0.89,0.13,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.49,,0.52,,<0.005,<0.01,0.2,<0.1,<0.02,,0.04,,,,,7.5,,33,,20,<0.05,<0.002,<0.001,,,,,,,,,,,,,,,,,,,,,,,,<0.007,,,0.03,<0.0002,,,,,
10920,20170810,粟倉橋,小糸川上流,B,1218,流心（中央）,0.15,千葉県,曇り,31.9,25.6,0.77,0.39,0.07,,>30.0,8.2,7.3,0.8,6.4,3,4.90E+03,,1.3,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20170905,粟倉橋,小糸川上流,B,1123,流心（中央）,0.13,千葉県,曇り,25.6,20.6,0.65,0.15,0.03,,>30.0,8.3,7.8,2.8,6.8,4,2.20E+04,,1.5,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,,1,,,,,,,,,,,,,4.2,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20171011,粟倉橋,小糸川上流,B,908,流心（中央）,0.16,千葉県,晴れ,27.9,19.6,0.8,3.05,0.41,,>30.0,7.9,8.5,0.8,8.1,9,7.00E+03,,0.8,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20171127,粟倉橋,小糸川上流,B,925,流心（中央）,0.21,千葉県,晴れ,14.9,11.5,1.05,,,,>30.0,7.9,10,0.9,5.9,8,1.30E+04,,0.68,0.06,0.002,,,<0.0003,<0.1,0.004,<0.005,<0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,<0.08,<0.03,0.34,<0.1,0.37,<0.005,,,,,,,0.05,,,,,5.2,,19,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20171207,粟倉橋,小糸川上流,B,1350,流心（中央）,0.15,千葉県,晴れ,15.6,10,0.77,,,,>30.0,8.1,10,0.7,4.5,<1,7.90E+02,,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20180116,粟倉橋,小糸川上流,B,1332,流心（中央）,0.2,千葉県,晴れ,12.1,7.8,1.04,,,,>30.0,8.2,11,0.9,4.6,<1,1.40E+02,,0.91,0.16,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.56,,0.59,,,,,,,,0.12,,,,,2.8,,34,,16,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20180207,粟倉橋,小糸川上流,B,930,流心（中央）,0.19,千葉県,晴れ,5.4,4.8,0.98,,,,>30.0,8.1,11,0.8,4.8,<1,3.30E+02,,0.93,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
