地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域,透視度(河川･湖沼),ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒素,硝酸性窒素,ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン生成能,ジブロモクロロメタン生成能,ブロモホルム生成能,クロロホルム,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20170411,東京湾　１,東京湾（９）,B,1041,上層（表層）,0.5,千葉県,雨,8.4,13,6,,,2.8,,8.3,8.9,,2.6,,,,0.74,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.3,,0.32,,,,,,,,0.22,1.7,0.017,1.70E+03,9,1.6,1.4,,31.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20170411,東京湾　１,東京湾（９）,B,1045,下層,5,千葉県,雨,8.4,13.1,6,,,2.8,,8.3,8.3,,2.3,,,,0.74,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,0.31,,0.33,,,,,,,,0.12,,0.016,,,1.6,1.4,,31.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20170511,東京湾　１,東京湾（９）,B,1037,上層（表層）,0.5,千葉県,快晴,21.6,19.9,6.4,,,1.9,,8.8,13,,6.2,,<2.0E+00,<0.5,0.99,0.065,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.08,,0.091,,,,,,,,0.08,3.6,0.016,1.80E+04,44,2.9,2,,28.57,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20170511,東京湾　１,東京湾（９）,B,1040,下層,5.4,千葉県,快晴,21.6,18.1,6.4,,,1.9,,8.6,8.6,,5.8,,,,0.87,0.056,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.07,,0.084,,,,,,,,0.08,,0.01,,,2.8,1.8,,29.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20170606,東京湾　１,東京湾（９）,B,1136,上層（表層）,0.5,千葉県,薄曇り,21.3,22.8,6.7,,,1.9,,8.6,10,,6,,,,1.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.03,,0.032,,,,,,,,0.04,3.1,0.022,1.50E+04,37,2.4,2,,29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20170606,東京湾　１,東京湾（９）,B,1139,下層,5.7,千葉県,薄曇り,21.3,21.4,6.7,,,1.9,,8.6,8.4,,5.3,,,,0.89,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.04,,0.044,,,,,,,,0.07,,0.015,,,2,1.8,,29.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20170704,東京湾　１,東京湾（９）,B,1109,上層（表層）,0.5,千葉県,曇り,27.7,24.2,6.7,,,1.5,,8.6,9.8,,7.9,,4.00E+00,<0.5,1.4,0.14,<0.001,0.00006,<0.0006,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.005,0.02,,0.025,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,0.05,3.3,0.024,1.00E+04,81,6,2.5,,26.93,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20170704,東京湾　１,東京湾（９）,B,1113,下層,5.7,千葉県,曇り,27.7,22.3,6.7,,,1.5,,8.5,5.3,,6.2,,,,0.79,0.085,<0.001,<0.00006,<0.0006,,,,,,,,,,,,,,,,,,,,,,,,,<0.002,0.01,,0.012,,,,,,,,0.08,,0.016,,,3.5,2.2,,29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20170802,東京湾　１,東京湾（９）,B,1114,上層（表層）,0.5,千葉県,時々雨,24,26,6.5,,,2.3,,8.5,8.2,,5.7,,,,0.87,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.12,,0.13,,,,,,,,0.18,4.5,0.038,2.30E+04,24,4,1.9,,27.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20170802,東京湾　１,東京湾（９）,B,1120,下層,5.5,千葉県,時々雨,24,25.6,6.5,,,2.3,,8.4,5.9,,5.7,,,,1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.11,,0.12,,,,,,,,0.26,,0.042,,,4,2,,27.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
