地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒素,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン生成能,ジブロモクロロメタン生成能,ブロモホルム生成能,クロロホルム,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10920,20180411,粟倉橋,小糸川上流,B,1147,流心（中央）,0.07,千葉県,曇り,20.8,14.3,0.38,0.52,0.12,,8.3,10,1.2,4.9,1,4.90E+02,,1.2,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,4.9,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20180515,粟倉橋,小糸川上流,B,1338,流心（中央）,0.13,千葉県,晴れ,31.9,20.2,0.66,3.29,0.43,,8.1,8.5,1,6.3,4,1.30E+04,,0.66,0.07,0.002,,,,<0.0003,<0.1,<0.001,<0.005,<0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,<0.08,<0.03,0.23,>30.0,<0.1,0.26,<0.005,,,,,,,0.04,,,,,4.3,,22,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20180614,粟倉橋,小糸川上流,B,1340,流心（中央）,0.15,千葉県,晴れ,25.1,20.9,0.76,3.26,0.47,,8,8.5,2.4,7.3,9,1.70E+04,,0.95,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.3,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20180718,粟倉橋,小糸川上流,B,1415,流心（中央）,0.06,千葉県,晴れ,34.1,26.8,0.37,0.4,0.1,,8.3,9.3,1,6.7,2,7.90E+03,,0.87,0.19,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.49,>30.0,,0.52,,<0.005,<0.01,0.3,<0.1,<0.02,,0.04,,,,,4.8,,38,,22,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20180814,粟倉橋,小糸川上流,B,1152,流心（中央）,0.14,千葉県,晴れ,32.2,25.9,0.29,0.39,0.08,,8.2,7.6,1,5.8,1,2.20E+04,,1.2,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.2,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20180910,粟倉橋,小糸川上流,B,1202,流心（中央）,0.08,千葉県,晴れ,30.4,23.5,0.42,1.08,0.19,,8.2,7.5,1.9,8.5,22,1.70E+05,,1.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.7,>30.0,,0.73,,,,,,,,,,,,,7.5,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20181009,粟倉橋,小糸川上流,B,1125,流心（中央）,0.12,千葉県,晴れ,27.2,20.9,0.61,2.84,0.4,,7.9,8.3,0.9,7.4,8,2.80E+04,,0.81,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,5,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20181106,粟倉橋,小糸川上流,B,1020,流心（中央）,0.09,千葉県,一時雨,20.3,16.5,0.48,0.97,0.19,,8.1,9,1.2,7.1,10,1.10E+04,,1,0.16,0.005,,,,<0.0003,<0.1,0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.09,0.03,0.6,>30.0,<0.1,0.63,<0.005,,,,,,,0.06,,,,,6.8,,34,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20181206,粟倉橋,小糸川上流,B,954,流心（中央）,0.09,千葉県,曇り,12.3,13.1,0.45,1.17,0.23,,8.1,9.4,0.9,6.4,2,3.30E+03,,1,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,4.5,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20190107,粟倉橋,小糸川上流,B,1104,流心（中央）,0.11,千葉県,薄曇り,11.1,7.1,0.55,0.34,0.09,,8.2,10,1.3,5.6,<1,4.90E+03,,1.6,0.34,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,>30.0,,1,,,,,,,,0.2,,,,,4.8,,58,,21,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20190204,粟倉橋,小糸川上流,B,916,流心（中央）,0.26,千葉県,晴れ,16.9,11.1,1.3,0.35,0.04,,8.2,8.9,1.7,5.9,2,2.30E+03,,1.7,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,8.5,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
