地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒素,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン生成能,ジブロモクロロメタン生成能,ブロモホルム生成能,クロロホルム,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20180423,東京湾　１,東京湾（９）,B,948,上層（表層）,0.5,千葉県,曇り,16.7,17.4,8.4,,,1.9,8.3,9.7,,2.6,,,,0.98,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.42,,,0.47,,,,,,,,0.06,1.9,0.03,3.30E+04,24,2.4,1.6,,28.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20180423,東京湾　１,東京湾（９）,B,948,下層,7.4,千葉県,曇り,16.7,16.5,8.4,,,1.9,8.1,7.7,,2,,,,0.77,0.058,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.29,,,0.33,,,,,,,,0.21,,0.038,,,2.1,1.8,,30.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20180522,東京湾　１,東京湾（９）,B,951,上層（表層）,0.5,千葉県,快晴,25.3,21.2,8.6,,,3.2,8.6,13,,5.4,,<2.0E+00,<0.5,0.76,0.065,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.08,,,0.095,,,,,,,,<0.01,2.7,0.022,2.60E+04,57,3,1.7,,27.41,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20180522,東京湾　１,東京湾（９）,B,951,下層,7.6,千葉県,快晴,25.3,19.6,8.6,,,3.2,8.3,8.9,,3,,,,0.49,0.037,0.006,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.1,,,0.12,,,,,,,,0.03,,0.012,,,2.1,1.6,,30.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20180606,東京湾　１,東京湾（９）,B,1105,上層（表層）,0.5,千葉県,雨,23,22.4,8.3,,,2,8.4,9,,5.5,,,,0.84,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,0.4,,,0.43,,,,,,,,0.03,3.8,0.02,3.60E+04,22,3.6,2.3,,24.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20180606,東京湾　１,東京湾（９）,B,1105,下層,7.3,千葉県,雨,23,19.1,8.3,,,2,7.9,0.7,,3.8,,,,0.87,0.14,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.03,,,0.043,,,,,,,,0.3,,0.07,,,2.7,1.7,,30.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20180723,東京湾　１,東京湾（９）,B,1002,上層（表層）,0.5,千葉県,晴れ,32.5,29.8,8,,,1.5,8.9,7.3,,5.3,,2.00E+00,<0.5,0.76,0.072,0.002,<0.00006,0.0006,,<0.0003,<0.1,<0.001,<0.005,0.002,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,<0.002,<0.01,,,<0.012,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,0.01,3.7,0.018,2.10E+04,49,4.1,2.9,,26.25,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20180723,東京湾　１,東京湾（９）,B,1002,下層,7,千葉県,晴れ,32.5,28.3,8,,,1.5,8.5,4.2,,3,,,,0.6,0.06,0.002,<0.00006,0.0008,4.2,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.01,,,0.014,,,,,,,,0.06,,0.023,,,2.7,2.4,,28.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20180801,東京湾　１,東京湾（９）,B,949,上層（表層）,0.5,千葉県,快晴,28.5,28,8.2,,,1.9,8.5,9.8,,5.4,,,,1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.28,,,0.3,,,,,,,,0.09,3.6,0.043,1.90E+04,17,4.1,3,,21.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20180801,東京湾　１,東京湾（９）,B,953,下層,7.2,千葉県,快晴,28.5,25.4,8.2,,,1.9,8,5,,2.4,,,,0.7,0.091,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.11,,,0.13,,,,,,,,0.14,,0.059,,,2.5,1.9,,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20180913,東京湾　１,東京湾（９）,B,940,上層（表層）,0.5,千葉県,曇り,24.2,25.8,8.6,,,3.2,8.3,6.4,,3.6,,,,0.59,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.11,,,0.12,,,,,,,,0.09,2.6,0.047,1.50E+03,3.2,1.4,1.4,,27.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20180913,東京湾　１,東京湾（９）,B,940,下層,7.6,千葉県,曇り,24.2,24.6,8.6,,,3.2,8.2,3.1,,2.9,,,,0.51,0.073,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.1,,,0.11,,,,,,,,0.1,,0.06,,,1.6,1.5,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20181002,東京湾　１,東京湾（９）,B,1000,上層（表層）,0.5,千葉県,晴れ,26.1,22.9,8.5,,,2,8,6.7,,3.6,,,,0.93,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.47,,,0.49,,,,,,,,0.17,2,0.096,1.40E+03,2.8,1.7,1.4,,26.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
