地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒素,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン生成能,ジブロモクロロメタン生成能,ブロモホルム生成能,クロロホルム,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10920,20190409,粟倉橋,小糸川上流,B,1126,流心（中央）,0.07,千葉県,晴れ,14.7,11.4,0.36,0.44,0.18,,8.2,10,1.2,6.2,1,1.10E+04,,1.1,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,5.7,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20190508,粟倉橋,小糸川上流,B,1012,流心（中央）,0.11,千葉県,晴れ,21.5,16.3,0.58,0.37,0.1,,8.3,8.7,1.2,7,3,1.30E+04,,1.3,0.3,0.001,,,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.13,0.05,0.83,>30.0,0.1,0.88,<0.005,,,,,,,0.13,,,,,5.4,,49,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20190603,粟倉橋,小糸川上流,B,1237,流心（中央）,0.13,千葉県,薄曇り,26.3,20.4,0.67,0.55,0.14,,8.2,8.7,1.2,7.2,2,1.70E+04,,1,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,4.3,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20190709,粟倉橋,小糸川上流,B,1425,流心（中央）,0.18,千葉県,曇り,22.8,19.8,0.9,1.91,0.3,,8,8.6,1,7.8,5,3.30E+04,,0.69,0.066,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.35,>30.0,,0.38,,<0.005,<0.01,0.2,<0.1,<0.02,,0.08,,,,,4.9,,20,,12,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20190805,粟倉橋,小糸川上流,B,848,流心（中央）,0.14,千葉県,曇り,30.7,24.3,0.72,0.77,0.18,,8.1,7.6,0.8,7.5,2,2.30E+04,,0.96,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,4.5,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20190903,粟倉橋,小糸川上流,B,1243,流心（中央）,0.12,千葉県,晴れ,31.5,25.8,0.62,0.2,0.06,,8.3,8.3,0.6,6.5,3,4.90E+04,,1.4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.91,>30.0,,0.94,,,,,,,,,,,,,3.6,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20191003,粟倉橋,小糸川上流,B,1148,流心（中央）,0.09,千葉県,晴れ,31.5,20.6,0.49,0.54,0.17,,8.3,9.3,0.7,6.6,1,1.70E+04,,1,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,3.9,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20191111,粟倉橋,小糸川上流,B,1142,流心（中央）,0.11,千葉県,晴れ,19.5,14.5,0.56,0.56,0.13,,8.1,9.4,1,5.1,4,7.90E+03,,1.3,0.16,0.001,,,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.11,0.04,0.81,>30.0,<0.1,0.85,<0.005,,,,,,,0.13,,,,,3.4,,38,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20191209,粟倉橋,小糸川上流,B,911,流心（中央）,0.17,千葉県,曇り,7.2,8.6,0.87,1.43,0.28,,7.9,11,0.8,5.6,4,4.60E+03,,0.81,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,3.7,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20200115,粟倉橋,小糸川上流,B,1232,流心（中央）,0.14,千葉県,曇り,11.7,9.5,0.74,1.17,0.26,,8.2,11,0.5,5.2,1,4.90E+03,,1,0.16,<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.62,>30.0,,0.65,,,,,,,,0.13,,,,,,,37,,18,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
