地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒素,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン生成能,ジブロモクロロメタン生成能,ブロモホルム生成能,クロロホルム,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20190419,東京湾　１,東京湾（９）,B,1000,上層（表層）,0.5,千葉県,晴れ,23.7,17.1,7.5,,,2,8.4,13,,2.7,,,,0.62,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.32,,,0.34,,,,,,,,0.16,2.4,0.028,8.80E+03,29,2,1.4,,30.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20190419,東京湾　１,東京湾（９）,B,1000,下層,6.5,千葉県,晴れ,23.7,14.4,7.5,,,2,8.2,10,,2.6,,,,0.76,0.055,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.25,,,0.27,,,,,,,,0.14,,0.024,,,1.8,1.3,,31.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20190524,東京湾　１,東京湾（９）,B,1010,上層（表層）,0.5,千葉県,快晴,24.5,21.7,8.3,,,1.5,8.5,11,,5.4,,2.20E+02,<0.5,0.71,0.063,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.16,,,0.17,,,,,,,,0.01,3.3,0.003,1.30E+04,44,6.3,3.9,,24.48,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20190524,東京湾　１,東京湾（９）,B,1010,下層,7.3,千葉県,快晴,24.5,18,8.3,,,1.5,8.3,1.8,,3.5,,,,0.49,0.07,0.002,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.04,,,0.045,,,,,,,,0.02,,0.033,,,5.1,5,,30.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20190610,東京湾　１,東京湾（９）,B,1022,上層（表層）,0.5,千葉県,雨,17.2,21.4,8.6,,,2.4,8.4,7.4,,4.5,,,,0.61,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.07,,,0.079,,,,,,,,0.28,2.5,0.017,4.10E+03,25,2.7,2.3,,28.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20190610,東京湾　１,東京湾（９）,B,1022,下層,7.6,千葉県,雨,17.2,17.5,8.6,,,2.4,8,<0.5,,2.6,,,,0.77,0.15,,,,<0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,,,0.06,,,,,,,,0.03,,0.12,,,2.6,1.6,,31.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20190709,東京湾　１,東京湾（９）,B,1015,上層（表層）,0.5,千葉県,曇り,19.5,21.7,8.6,,,2,8.1,6.5,,4.2,,7.90E+01,<0.5,0.87,0.1,0.002,<0.00006,<0.0006,,<0.0003,<0.1,<0.001,<0.005,0.002,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.036,0.21,,,0.24,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,<0.0006,0.02,2.4,0.06,5.80E+03,22,2.6,0.9,,27.64,,<0.05,<0.002,<0.001,,,,,,<0.008,<0.004,<0.006,<0.02,<0.0008,<0.0005,<0.0003,<0.004,<0.004,<0.005,<0.0008,<0.0008,<0.003,<0.0008,<0.0001,<0.06,<0.04,<0.006,0.009,<0.0002,<0.00004,<0.02,0.0025,<0.02,0.003,<0.00004,<0.002,<0.001
30010,20190709,東京湾　１,東京湾（９）,B,1015,下層,7.6,千葉県,曇り,19.5,19.3,8.6,,,2,7.8,0.5,,1.9,,,,0.78,0.17,<0.001,<0.00006,0.0009,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.01,,,0.016,,,,,,,,0.12,,0.14,,,1.1,0.8,,32.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20190806,東京湾　１,東京湾（９）,B,1002,上層（表層）,0.5,千葉県,晴れ,28,29.1,8.7,,,1,8.8,11,,5.8,,,,0.94,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.19,,,0.21,,,,,,,,0.01,3.2,<0.003,7.60E+04,96,5.8,2.3,,19.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20190806,東京湾　１,東京湾（９）,B,1002,下層,7.7,千葉県,晴れ,28,23.5,8.7,,,1,8.1,<0.5,,2.8,,,,0.73,0.1,,,,<0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.03,,,0.038,,,,,,,,0.09,,0.03,,,3.2,1.1,,27.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
