地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,クロロホルム,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10920,20200406,粟倉橋,小糸川上流,B,955,流心（中央）,0.14,千葉県,晴れ,14.5,12,0.73,0.48,0.1,,8.1,9.8,0.7,5.2,1,2.30E+03,,1.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,3.4,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20200511,粟倉橋,小糸川上流,B,850,流心（中央）,0.17,千葉県,晴れ,25.5,18.8,0.86,0.52,0.09,,8.2,8.4,1.7,6,2,7.00E+03,,1.2,0.25,0.009,,,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.11,0.06,0.77,>30.0,0.1,0.83,<0.005,,,,,,,0.12,,,,,8.5,,45,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20200609,粟倉橋,小糸川上流,B,1005,流心（中央）,0.12,千葉県,晴れ,29.6,21.5,0.61,0.3,0.08,,8.2,8.7,1,6,2,2.20E+04,,1.3,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.5,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20200709,粟倉橋,小糸川上流,B,856,流心（中央）,0.14,千葉県,雨,25.6,22.5,0.72,1.83,0.36,,7.9,7.9,1.1,7.7,7,7.90E+03,,0.92,0.081,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.43,>30.0,,0.46,,<0.005,<0.01,0.3,<0.1,<0.02,,0.05,,,,,6.2,,20,,11,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20200803,粟倉橋,小糸川上流,B,1102,流心（中央）,0.14,千葉県,晴れ,33.2,23.4,0.71,0.6,0.15,,8.3,9.2,0.9,5.4,2,1.10E+04,,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,4.9,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20200901,粟倉橋,小糸川上流,B,1120,流心（中央）,0.12,千葉県,曇り,26.1,22.8,0.6,0.31,0.08,,8.2,7.8,1.1,6.3,4,1.40E+04,,1.3,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.88,>30.0,,0.92,,,,,,,,,,,,,4.5,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20201005,粟倉橋,小糸川上流,B,1120,流心（中央）,0.13,千葉県,曇り,27,20,0.68,0.41,0.11,,8.2,5.8,1.1,6.3,3,7.90E+03,,1.2,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.3,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20201104,粟倉橋,小糸川上流,B,1020,流心（中央）,0.15,千葉県,快晴,13.8,14.5,0.75,0.84,0.24,,8.1,9.4,1.2,7.1,4,1.10E+04,,1,0.11,0.001,,,,<0.0003,<0.1,<0.001,<0.005,<0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,<0.08,<0.03,0.59,>30.0,<0.1,0.62,<0.005,,,,,,,0.06,,,,,4.9,,26,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20201202,粟倉橋,小糸川上流,B,944,流心（中央）,0.07,千葉県,曇り,11.3,10.5,0.38,0.44,0.1,,8.2,9.7,0.7,5.4,<1,3.30E+03,,1.3,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.6,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20210112,粟倉橋,小糸川上流,B,953,流心（中央）,0.17,千葉県,曇り,5.6,5.1,0.88,0.59,0.11,,8.2,11,1,5.7,<1,4.90E+03,,1.1,0.2,<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.73,>30.0,,0.76,,,,,,,,0.13,,,,,6.2,,40,,19,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
