地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,クロロホルム,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20200416,東京湾　１,東京湾（９）,B,943,上層（表層）,0.5,千葉県,晴れ,14,14.2,8.6,,,3,8.1,9.7,,2.9,,,,0.6,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.23,,,0.25,,,,,,,,<0.01,1.3,0.008,2.20E+03,14,4.1,3.6,,30.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200416,東京湾　１,東京湾（９）,B,943,下層,7.6,千葉県,晴れ,14,14.3,8.6,,,3,8,9.2,,2.3,,,,0.57,0.042,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.19,,,0.12,,,,,,,,0.01,,0.017,,,3.2,2.4,,31.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200519,東京湾　１,東京湾（９）,B,932,上層（表層）,0.5,千葉県,雨,19.8,20.5,8,,,1.7,8.5,9.9,,4.7,,4.90E+02,<0.5,0.65,0.047,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.11,,,0.13,,,,,,,,<0.01,2.8,<0.003,8.00E+03,31,6.7,4.1,,25.79,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200519,東京湾　１,東京湾（９）,B,932,下層,7,千葉県,雨,19.8,18.9,8,,,1.7,8.4,8,,3.8,,,,0.63,0.043,0.005,,,8,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.13,,,0.15,,,,,,,,<0.01,,<0.003,,,5.7,3,,27.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200602,東京湾　１,東京湾（９）,B,957,上層（表層）,0.5,千葉県,曇り,23.2,22.3,8,,,2.2,8.7,10,,5.7,,,,0.81,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,0.11,,,0.13,,,,,,,,0.02,2.9,0.015,2.50E+04,19,7.1,4.8,,25.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200602,東京湾　１,東京湾（９）,B,957,下層,7,千葉県,曇り,23.2,19,8,,,2.2,8.6,4.2,,3.6,,,,0.4,0.03,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,0.003,<0.01,,,0.013,,,,,,,,0.01,,0.003,,,5.4,4.1,,29.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200715,東京湾　１,東京湾（９）,B,946,上層（表層）,0.5,千葉県,霧,20.8,24.2,8.3,,,1.8,8.3,8.9,,4.3,,3.30E+02,<0.5,1.1,0.089,0.001,<0.00006,0.0007,,<0.0003,<0.1,<0.001,<0.005,0.002,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.041,0.57,,,0.61,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,0.02,2.8,0.027,1.00E+04,33,5.6,2.8,,18.11,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200715,東京湾　１,東京湾（９）,B,946,下層,7.3,千葉県,霧,20.8,23.7,8.3,,,1.8,8.1,2.3,,3.5,,,,1,0.091,0.003,<0.00006,<0.0006,2.3,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.4,,,0.43,,,,,,,,0.09,,0.055,,,3.9,2.9,,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200804,東京湾　１,東京湾（９）,B,949,上層（表層）,0.5,千葉県,晴れ,28.7,27,7,,,0.9,8.7,14,,6.4,,,,1.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,0.37,,,0.39,,,,,,,,0.02,2.7,0.004,7.20E+04,100,7.4,3.6,,17.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200804,東京湾　１,東京湾（９）,B,949,下層,6,千葉県,晴れ,28.7,22.2,7,,,0.9,8.1,1.8,,3.7,,,,0.62,0.078,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.08,,,0.092,,,,,,,,0.01,,0.025,,,5.4,2.7,,27.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200901,東京湾　１,東京湾（９）,B,926,上層（表層）,0.5,千葉県,晴れ,26.5,28.8,7.7,,,1.7,8.5,7.3,,6.5,,,,0.66,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.01,,,0.013,,,,,,,,0.04,3.5,0.015,2.30E+03,31,6.9,4.1,,25.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200901,東京湾　１,東京湾（９）,B,926,下層,6.7,千葉県,晴れ,26.5,26.6,7.7,,,1.7,8.5,4.4,,4.7,,,,0.45,0.053,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,0.002,<0.01,,,0.012,,,,,,,,0.01,,0.005,,,4.9,3.4,,26.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20201006,東京湾　１,東京湾（９）,B,914,上層（表層）,0.5,千葉県,晴れ,22.5,22.3,8.7,,,2.1,8.4,11,,3,,,,0.34,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.002,<0.01,,,<0.012,,,,,,,,<0.01,2,0.003,1.40E+04,20,5,3.3,,29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20201006,東京湾　１,東京湾（９）,B,914,下層,7.7,千葉県,晴れ,22.5,21.6,8.7,,,2.1,8.2,1.9,,2.6,,,,0.41,0.064,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.04,,,0.057,,,,,,,,0.04,,0.031,,,4.3,2.6,,30.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20201117,東京湾　１,東京湾（９）,B,926,上層（表層）,0.5,千葉県,快晴,16.5,17.9,8.4,,,2,8,7.8,,4.1,,4.00E+00,<0.5,0.7,0.093,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.23,,,0.27,,,,,,,,<0.01,2.5,0.028,1.90E+03,52,10,5.7,,31.87,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20201117,東京湾　１,東京湾（９）,B,926,下層,7.4,千葉県,快晴,16.5,18.1,8.4,,,2,8,6,,1.7,,,,0.45,0.058,0.002,,,6,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.25,,,0.28,,,,,,,,0.03,,0.034,,,7.8,5.2,,31.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20201201,東京湾　１,東京湾（９）,B,958,上層（表層）,0.5,千葉県,晴れ,11,15.9,8,,,3.7,8,7.3,,2.1,,,,0.84,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,0.43,,,0.49,,,,,,,,<0.01,1.7,0.057,4.30E+02,2.2,2.8,2.3,,30.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20201201,東京湾　１,東京湾（９）,B,958,下層,7,千葉県,晴れ,11,16.6,8,,,3.7,8,7.1,,1.8,,,,0.62,0.054,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,0.058,0.25,,,0.3,,,,,,,,<0.01,,0.036,,,2.5,2.1,,31.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210105,東京湾　１,東京湾（９）,B,919,上層（表層）,0.5,千葉県,晴れ,5.5,10.5,8.9,,,2.7,8.1,9.9,,2.9,,2.00E+00,<0.5,0.72,0.052,0.002,<0.00006,<0.0006,,<0.0003,<0.1,0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.065,0.29,,,0.35,<0.005,,,,,,,0.01,1.8,0.014,5.30E+03,19,6.7,4.4,,31.32,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210105,東京湾　１,東京湾（９）,B,919,下層,7.9,千葉県,晴れ,5.5,11.8,8.9,,,2.7,8,8.2,,2.4,,,,0.64,0.046,0.004,<0.00006,<0.0006,8.2,,,,,,,,,,,,,,,,,,,,,,,,,0.061,0.28,,,0.34,,,,,,,,0.02,,0.021,,,6.8,3.9,,31.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210209,東京湾　１,東京湾（９）,B,920,上層（表層）,0.5,千葉県,快晴,4.5,10,8.5,,,2.4,8,9.8,,2.2,,,,0.73,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.36,,,0.38,,,,,,,,<0.01,1.2,0.014,6.20E+03,11,4.9,2.1,,31.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210209,東京湾　１,東京湾（９）,B,920,下層,7.5,千葉県,快晴,4.5,11.1,8.5,,,2.4,8,8.6,,1.9,,,,0.68,0.049,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,0.028,0.38,,,0.4,,,,,,,,0.04,,0.019,,,7,2.1,,31.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210303,東京湾　１,東京湾（９）,B,926,上層（表層）,0.5,千葉県,晴れ,5.5,11.3,8.5,,,1.9,8.1,9.6,,3.1,,,,0.85,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.4,,,0.42,,,,,,,,<0.01,2,0.02,3.70E+03,14,2.9,2.4,,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210303,東京湾　１,東京湾（９）,B,926,下層,7.5,千葉県,晴れ,5.5,11.1,8.5,,,1.9,8.1,9.2,,3,,,,0.76,0.048,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.39,,,0.41,,,,,,,,<0.01,,0.02,,,2.6,1.5,,31.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
