地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10920,20210413,粟倉橋,小糸川上流,B,1053,流心（中央）,0.13,千葉県,薄曇り,22,13.9,0.67,0.55,0.13,,8.2,10,0.9,5.4,1,3.30E+03,,1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,7,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20210510,粟倉橋,小糸川上流,B,1218,流心（中央）,0.15,千葉県,快晴,25.6,20.2,0.75,0.8,0.18,,8.2,9.5,1.4,6.8,2,1.30E+04,,1,0.2,0.001,,,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.09,0.04,0.51,>30.0,<0.1,0.55,<0.005,,,,,,,0.11,,,,,7.8,,34,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20210609,粟倉橋,小糸川上流,B,1040,流心（中央）,0.15,千葉県,晴れ,30.5,22,0.75,0.84,0.21,,8.2,8.8,0.9,6.7,2,2.30E+04,,1.2,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,7.6,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20210712,粟倉橋,小糸川上流,B,900,流心（中央）,0.16,千葉県,晴れ,29.6,22.6,0.8,0.55,0.11,,8.2,8.8,1.2,5.6,2,3.30E+04,,1.2,0.18,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.65,>30.0,,0.7,,<0.005,<0.01,0.1,<0.1,<0.02,,0.1,,,,,9,,38,,15,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20210810,粟倉橋,小糸川上流,B,958,流心（中央）,0.13,千葉県,晴れ,30.8,24,0.67,0.68,0.17,,8.1,7.3,1.1,6.5,3,7.90E+04,,1.3,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.7,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20210907,粟倉橋,小糸川上流,B,1125,流心（中央）,0.14,千葉県,晴れ,25.7,20.9,0.74,0.95,0.2,,8.2,8.5,1.1,7,3,1.40E+04,,0.92,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.46,>30.0,,0.49,,,,,,,,,,,,,6.9,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20211005,粟倉橋,小糸川上流,B,1050,流心（中央）,0.18,千葉県,晴れ,28.5,19.6,0.93,1.87,0.3,,8,8.3,0.7,7.8,8,2.30E+04,,0.8,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,7.3,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20211104,粟倉橋,小糸川上流,B,1050,流心（中央）,0.15,千葉県,晴れ,17.4,14.5,0.78,0.65,0.14,,8.2,9.4,0.8,5.6,1,1.70E+04,,0.96,0.14,0.001,,,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.11,0.03,0.59,>30.0,<0.1,0.62,<0.005,,,,,,,0.07,,,,,5.4,,33,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20211207,粟倉橋,小糸川上流,B,1215,流心（中央）,0.14,千葉県,曇り,15.6,11.9,0.7,1.2,0.25,,8,10,1.4,6.1,5,4.60E+03,,1.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,4.7,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20220105,粟倉橋,小糸川上流,B,955,流心（中央）,0.13,千葉県,快晴,8.8,5.7,0.65,0.35,0.1,,8.2,11,0.8,5,<1,3.30E+03,,1.2,0.22,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.69,>30.0,,0.73,,,,,,,,0.17,,,,,7,,43,,21,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
