地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20210413,東京湾　１,東京湾（９）,B,925,上層（表層）,0.5,千葉県,曇り,14.5,15.9,8,,,2.5,8.3,12,,4.1,,,,0.62,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.17,,,0.19,,,,,,,,0.01,2.4,<0.003,1.10E+04,30,2.9,1.6,,29.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210413,東京湾　１,東京湾（９）,B,925,下層,7,千葉県,曇り,14.5,14.8,8,,,2.5,8.2,2.4,,3.3,,,,0.59,0.047,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.15,,,0.17,,,,,,,,0.05,,0.007,,,2.8,1.5,,30.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210518,東京湾　１,東京湾（９）,B,904,上層（表層）,0.5,千葉県,曇り,24,20.3,8.5,,,1.9,8,7.7,,4,,1.40E+02,<0.5,1.6,0.12,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.61,,,0.65,,,,,,,,0.21,3.3,0.089,6.90E+02,17,2,1.9,,22.99,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210518,東京湾　１,東京湾（９）,B,904,下層,7.5,千葉県,曇り,24,19,8.5,,,1.9,8.1,5.9,,2.8,,,,0.73,0.073,0.004,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.16,,,0.17,,,,,,,,0.01,,0.029,,,1.8,1.7,,29.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210608,東京湾　１,東京湾（９）,B,909,上層（表層）,0.5,千葉県,晴れ,24.5,22.7,7.6,,,1.6,8.4,9.9,,4.6,,,,0.84,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.35,,,0.37,,,,,,,,<0.01,3.5,0.006,2.80E+04,19,2.2,1.7,,22.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210608,東京湾　１,東京湾（９）,B,909,下層,6.6,千葉県,晴れ,24.5,20.8,7.6,,,1.6,8.3,3.3,,3.1,,,,0.41,0.04,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,0.04,,,,,,,,0.06,,0.008,,,1.8,1.7,,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210706,東京湾　１,東京湾（９）,B,918,上層（表層）,0.5,千葉県,曇り,26,22.5,7.8,,,3.2,8,4.1,,3.6,,3.30E+02,<0.5,0.92,0.11,0.003,<0.00006,<0.0006,,<0.0003,<0.1,<0.001,<0.005,0.002,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.033,0.25,,,0.28,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,0.21,2.5,0.086,5.70E+03,4.1,1.6,1.4,,24.7,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210706,東京湾　１,東京湾（９）,B,918,下層,6.8,千葉県,曇り,26,21.2,7.8,,,3.2,7.9,1.2,,2.5,,,,0.58,0.088,0.007,<0.00006,<0.0006,1.2,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.1,,,0.17,,,,,,,,0.14,,0.068,,,1.5,1.4,,30.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210803,東京湾　１,東京湾（９）,B,911,上層（表層）,0.5,千葉県,晴れ,30,28.5,8.1,,,1.5,8.5,10,,4.9,,,,0.97,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.44,,,0.45,,,,,,,,0.01,3.2,0.006,3.40E+04,38,2.6,2.2,,18.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210803,東京湾　１,東京湾（９）,B,911,下層,7.1,千葉県,晴れ,30,25.4,8.1,,,1.5,8.3,2.6,,4.7,,,,0.58,0.075,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.05,,,0.053,,,,,,,,0.09,,0.038,,,2.4,2.2,,26.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
