地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,大腸菌数,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10920,20230410,粟倉橋,小糸川上流,B,1220,流心（中央）,0.17,千葉県,晴れ,21.1,16,0.87,0.48,0.11,,8.2,9.9,0.7,6.5,1,,0.97,0.17,,,,,1.40E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20230519,粟倉橋,小糸川上流,B,1015,流心（中央）,0.17,千葉県,曇り,25.7,20.3,0.89,0.52,0.1,,8.2,8.2,1.3,6.6,3,,1.2,0.24,0.001,,,,2.10E+02,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.08,0.05,0.64,>30.0,0.1,0.69,<0.005,,,,,,,0.12,,,,,8.6,,43,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20230606,粟倉橋,小糸川上流,B,1132,流心（中央）,0.15,千葉県,曇り,25.8,19.1,0.75,1.03,0.22,,8.1,8,0.8,7,5,,1.2,0.13,,,,,2.90E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,7.5,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20230703,粟倉橋,小糸川上流,B,1025,流心（中央）,0.11,千葉県,薄曇り,28.2,23.2,0.57,0.61,0.16,,8.2,8.1,1,7.4,3,,0.91,0.16,0.001,,,,3.30E+02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.46,>30.0,,0.49,,<0.005,<0.01,0.2,<0.1,<0.02,,0.06,,,,,8.2,,34,,18,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20230801,粟倉橋,小糸川上流,B,1038,流心（中央）,0.14,千葉県,晴れ,33.5,26.1,0.7,0.64,0.15,,8.3,8,1.1,7.5,5,,0.95,0.15,,,,,1.80E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,9,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20230904,粟倉橋,小糸川上流,B,843,流心（中央）,0.11,千葉県,曇り,27,23.4,0.59,0.44,0.14,,8.2,6.8,1.7,8.7,17,,1.6,0.33,,,,,2.40E+03,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.9,>30.0,,0.94,,,,,,,,,,,,,15,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20231003,粟倉橋,小糸川上流,B,1019,流心（中央）,0.15,千葉県,晴れ,28.2,21.1,0.78,1.48,0.32,,8,8.3,1,9.3,8,,0.76,0.077,,,,,1.30E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,9.4,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20231114,粟倉橋,小糸川上流,B,924,流心（中央）,0.08,千葉県,晴れ,12.3,10.5,0.4,0.25,0.1,,8.2,9.6,0.9,6.1,<1,,1.4,0.31,0.001,,,,4.30E+02,<0.0003,<0.1,<0.001,<0.005,0.002,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.13,0.05,0.9,>30.0,0.1,0.95,<0.005,,,,,,,0.16,,,,,10,,54,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20231211,粟倉橋,小糸川上流,B,1135,流心（中央）,0.06,千葉県,曇り,16.5,10.8,0.31,0.3,0.14,,8.2,10,0.9,5.4,<1,,1.3,0.25,,,,,3.10E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,5.1,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20240111,粟倉橋,小糸川上流,B,1210,流心（中央）,0.07,千葉県,晴れ,10.2,7.6,0.36,0.54,0.22,,8.2,11,1.3,6.5,1,,0.91,0.18,0.001,,,,1.10E+02,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.65,>30.0,,0.68,,,,,,,,0.1,,,,,8.1,,43,,28,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
