地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,大腸菌数,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20230420,東京湾　１,東京湾（９）,B,1045,上層（表層）,0.5,千葉県,晴れ,21,18.1,7,,,2.1,8.3,10,,4.5,,,0.66,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,0.2,,,0.22,,,,,,,,<0.01,2.7,0.006,9.40E+03,24,2.5,1.6,,29.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20230420,東京湾　１,東京湾（９）,B,1045,下層,6,千葉県,晴れ,21,16.1,7,,,2.1,8.2,5.3,,3.5,,,0.55,0.057,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.08,,,0.095,,,,,,,,0.1,,0.021,,,2.1,1.5,,31.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20230519,東京湾　１,東京湾（９）,B,1041,上層（表層）,0.5,千葉県,曇り,20,20.3,7.1,,,1.4,8.3,9.9,,4.9,,<0.5,0.99,0.1,0.004,,,,1.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,0.041,0.26,,,0.3,,,,,,,,<0.01,3.1,0.015,1.40E+04,40,3.6,1.8,,27.84,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20230519,東京湾　１,東京湾（９）,B,1041,下層,6.1,千葉県,曇り,20,19,7.1,,,1.4,8.1,5.9,,3.2,,,0.65,0.083,0.005,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.13,,,0.16,,,,,,,,0.1,,0.032,,,2.4,1.4,,30.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20230605,東京湾　１,東京湾（９）,B,1056,上層（表層）,0.5,千葉県,曇り,23,21.6,7,,,1.4,7.7,7.4,,4.7,,,1.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1.3,,,1.3,,,,,,,,0.16,4.1,0.061,7.20E+02,3.1,2.1,1.9,,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20230605,東京湾　１,東京湾（９）,B,1056,下層,6,千葉県,曇り,23,20.7,7,,,1.4,8.4,4.7,,3,,,0.41,0.05,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.06,,,0.068,,,,,,,,0.04,,0.027,,,1.7,1.5,,28.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20230703,東京湾　１,東京湾（９）,B,1141,上層（表層）,0.5,千葉県,晴れ,29.5,27.2,7,,,1,8.6,10,,5.9,,<0.5,1.3,0.12,0.004,<0.00006,<0.0006,,4.40E+01,<0.0003,<0.1,<0.001,<0.005,<0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.029,0.65,,,0.67,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,<0.01,3.2,0.003,9.70E+04,49,3.6,1.8,,13.95,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20230703,東京湾　１,東京湾（９）,B,1141,下層,6,千葉県,晴れ,29.5,24,7,,,1,8.2,2.9,,2.7,,,0.51,0.069,0.006,<0.00006,<0.0006,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.05,,,0.062,,,,,,,,0.08,,0.029,,,2.2,1.5,,28.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20230817,東京湾　１,東京湾（９）,B,1107,上層（表層）,0.5,千葉県,晴れ,29,29.6,7.2,,,0.9,8.5,9.8,,5.6,,,1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,0.47,,,0.5,,,,,,,,0.03,3.4,0.049,4.90E+04,64,3.7,2.1,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20230817,東京湾　１,東京湾（９）,B,1107,下層,6.2,千葉県,晴れ,29,27.6,7.2,,,0.9,8.3,3.8,,3,,,0.34,0.076,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.01,,,0.013,,,,,,,,0.05,,0.033,,,1.9,1.8,,29.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20230904,東京湾　１,東京湾（９）,B,1038,上層（表層）,0.5,千葉県,曇り,28.5,29.5,8.5,,,1,8.6,8.1,,8.8,,,0.99,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.002,<0.01,,,<0.012,,,,,,,,0.03,4.7,0.02,8.50E+03,130,5.4,3.3,,26.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20230904,東京湾　１,東京湾（９）,B,1038,下層,7.5,千葉県,曇り,28.5,28.5,8.5,,,1,8.5,5.4,,5.1,,,0.43,0.081,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,<0.002,<0.01,,,<0.012,,,,,,,,0.04,,0.015,,,2.8,2.1,,27.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20231002,東京湾　１,東京湾（９）,B,1117,上層（表層）,0.5,千葉県,晴れ,27,26.2,8.1,,,1.9,8.3,7.4,,3.4,,,0.65,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.1,,,0.13,,,,,,,,0.1,2.7,0.035,1.10E+04,25,2.5,1.6,,27.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20231002,東京湾　１,東京湾（９）,B,1117,下層,7.1,千葉県,晴れ,27,25.6,8.1,,,1.9,8.1,4.5,,2.9,,,0.65,0.096,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.11,,,0.15,,,,,,,,0.16,,0.057,,,2.1,1.5,,27.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20231106,東京湾　１,東京湾（９）,B,1134,上層（表層）,0.5,千葉県,晴れ,22.5,21.5,8.4,,,1.8,8.2,8.1,,4.5,,<0.5,0.73,0.12,0.001,,,,7.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.02,,,0.024,,,,,,,,0.12,2.5,0.013,1.40E+04,27,2.7,1.6,,31.01,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20231106,東京湾　１,東京湾（９）,B,1134,下層,7.4,千葉県,晴れ,22.5,20.8,8.4,,,1.8,8.2,7.8,,3.3,,,0.51,0.081,0.001,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.02,,,0.024,,,,,,,,0.11,,0.016,,,1.9,1.5,,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20231204,東京湾　１,東京湾（９）,B,1100,上層（表層）,0.5,千葉県,快晴,12,15.1,8.5,,,3.6,7.9,7.4,,2.3,,,0.64,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,0.4,,,0.46,,,,,,,,0.01,1.8,0.047,9.70E+02,5.5,1.3,1.1,,31.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20231204,東京湾　１,東京湾（９）,B,1100,下層,7.5,千葉県,快晴,12,15.7,8.5,,,3.6,7.9,6.7,,2,,,0.62,0.051,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,0.33,,,0.39,,,,,,,,0.02,,0.042,,,1.2,1,,31.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240131,東京湾　１,東京湾（９）,B,1104,上層（表層）,0.5,千葉県,晴れ,11,10,8.5,,,4.3,8,9.6,,2.3,,<0.5,0.69,0.043,0.003,<0.00006,<0.0006,,<1.0E+00,<0.0003,<0.1,<0.001,<0.005,<0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.029,0.36,,,0.38,<0.005,,,,,,,0.02,1.6,0.029,1.80E+03,5.6,1.2,0.9,,31.98,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240131,東京湾　１,東京湾（９）,B,1104,下層,7.5,千葉県,晴れ,11,10.4,8.5,,,4.3,8,9,,2.1,,,0.69,0.044,0.003,<0.00006,<0.0006,9,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.35,,,0.37,,,,,,,,0.04,,0.027,,,1.1,0.9,,31.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240205,東京湾　１,東京湾（９）,B,1043,上層（表層）,0.5,千葉県,曇り,4.5,10.4,8.7,,,3.8,8,9.8,,2.3,,,0.71,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,0.39,,,0.41,,,,,,,,0.05,1.8,0.025,2.80E+03,10,1.3,0.9,,32.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240205,東京湾　１,東京湾（９）,B,1043,下層,7.7,千葉県,曇り,4.5,11.1,8.7,,,3.8,8,7.9,,1.9,,,0.64,0.046,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.33,,,0.35,,,,,,,,0.06,,0.029,,,1.1,0.8,,32.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240304,東京湾　１,東京湾（９）,B,1032,上層（表層）,0.5,千葉県,快晴,11,11.3,8.6,,,3,8.1,9.3,,2.1,,,0.7,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.38,,,0.4,,,,,,,,0.06,2,0.016,2.40E+03,7.7,1.5,1.1,,31.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240304,東京湾　１,東京湾（９）,B,1032,下層,7.6,千葉県,快晴,11,11.3,8.6,,,3,8,8,,2,,,0.64,0.039,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.32,,,0.34,,,,,,,,0.06,,0.02,,,1.3,1.1,,32.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20230420,東京湾　２,東京湾（４）,C,1008,上層（表層）,0.5,千葉県,晴れ,23.5,19.5,6,,,1.9,7.9,4.9,,4.4,,,0.73,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.12,,,0.14,,,,,,,,0.22,2.7,0.057,,7.8,2,1.7,,29.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20230420,東京湾　２,東京湾（４）,C,1008,下層,5,千葉県,晴れ,23.5,16.8,6,,,1.9,8,4.4,,3.2,,,0.69,0.092,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,0.09,,,0.11,,,,,,,,0.22,,0.055,,,2,1.5,,31.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20230519,東京湾　２,東京湾（４）,C,1004,上層（表層）,0.5,千葉県,曇り,22,22.1,5.8,,,1.3,8,6.6,,4.7,,<0.5,0.91,0.11,0.003,,,,7.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.24,,,0.27,,,,,,,,0.09,2.8,0.051,,19,2.6,1.8,,28.3,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20230519,東京湾　２,東京湾（４）,C,1004,下層,4.8,千葉県,曇り,22,21.4,5.8,,,1.3,8,5.7,,4.3,,,0.83,0.11,0.007,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.19,,,0.22,,,,,,,,0.12,,0.05,,,2.3,1.7,,28.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20230605,東京湾　２,東京湾（４）,C,1021,上層（表層）,0.5,千葉県,曇り,24.5,23.6,4.5,,,1.8,8.2,7.2,,4.6,,,1.2,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.45,,,0.49,,,,,,,,0.15,3.7,0.076,,28,2.3,1.8,,21.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20230605,東京湾　２,東京湾（４）,C,1021,下層,3.5,千葉県,曇り,24.5,21.9,4.5,,,1.8,8.2,3.2,,3.7,,,0.72,0.094,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.17,,,0.19,,,,,,,,0.14,,0.069,,,1.9,1.7,,25.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20230703,東京湾　２,東京湾（４）,C,1052,上層（表層）,0.5,千葉県,晴れ,33,28.4,5.5,,,0.9,8.2,4.6,,5.9,,<0.5,1,0.19,<0.001,<0.00006,<0.0006,,2.90E+01,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.025,0.09,,,0.11,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,0.2,3.6,0.11,,24,3.2,2.3,,21.47,,<0.05,,0.001,,,,,,,,,,,,,,,,,,,,,,,0.008,,,0.08,0.0017,0.0000014,0.0000007,0.0000024,0.0000021,0.0000038,<0.008,<0.02,<0.003,<0.00004,<0.002,<0.001
30020,20230703,東京湾　２,東京湾（４）,C,1052,下層,4.5,千葉県,晴れ,33,24.5,5.5,,,0.9,8.2,1.9,,5,,,0.87,0.13,0.008,<0.00006,<0.0006,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.07,,,0.089,,,,,,,,0.2,,0.074,,,3,2,,22.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20230817,東京湾　２,東京湾（４）,C,1027,上層（表層）,0.5,千葉県,晴れ,30,29.5,6,,,1.3,8.5,9.9,,5.3,,,0.71,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.04,,,0.051,,,,,,,,0.05,3.2,0.025,,88,3.7,2.2,,23.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20230817,東京湾　２,東京湾（４）,C,1027,下層,5,千葉県,晴れ,30,29.8,6,,,1.3,8.4,5.2,,5,,,0.68,0.16,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.03,,,0.039,,,,,,,,0.07,,0.067,,,3.5,2.2,,24.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20230904,東京湾　２,東京湾（４）,C,1004,上層（表層）,0.5,千葉県,晴れ,29.5,29.6,7,,,1.4,8.4,5.1,,5,,,0.54,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.01,,,0.015,,,,,,,,0.05,2.5,0.046,,35,3,2.4,,25.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20230904,東京湾　２,東京湾（４）,C,1004,下層,6,千葉県,晴れ,29.5,27.8,7,,,1.4,8.3,1.2,,4.1,,,0.56,0.1,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.02,,,0.025,,,,,,,,0.16,,0.06,,,2.4,2,,27.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20231002,東京湾　２,東京湾（４）,C,1040,上層（表層）,0.5,千葉県,晴れ,26.5,26.4,6.7,,,2.4,8.1,4.9,,3,,,1.1,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,0.24,,,0.29,,,,,,,,0.36,2.9,0.1,,6.2,2.3,1.7,,25.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20231002,東京湾　２,東京湾（４）,C,1040,下層,5.7,千葉県,晴れ,26.5,26,6.7,,,2.4,8.1,4.7,,2.8,,,0.72,0.1,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.08,,,0.11,,,,,,,,0.28,,0.067,,,2.2,1.7,,27.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20231106,東京湾　２,東京湾（４）,C,1047,上層（表層）,0.5,千葉県,晴れ,24.5,21.1,7,,,1.9,8.1,8.9,,3.6,,<0.5,0.65,0.096,0.002,,,,1.30E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.19,,,0.21,,,,,,,,0.07,2.4,0.05,,16,2,1.5,,29.33,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20231106,東京湾　２,東京湾（４）,C,1047,下層,6,千葉県,晴れ,24.5,20.8,7,,,1.9,8.2,6.9,,3.3,,,0.44,0.079,0.002,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.05,,,0.058,,,,,,,,0.07,,0.028,,,2,1.4,,30.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20231204,東京湾　２,東京湾（４）,C,1020,上層（表層）,0.5,千葉県,快晴,9.5,13.4,7.6,,,3.4,7.8,7.4,,2.5,,,0.9,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.43,,,0.51,,,,,,,,0.09,1.9,0.067,,5.9,1.4,1.1,,30.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
